header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,148,51,34.5,17,11,64.7,34,15,44.1
Opp. Stats,141,48,34.0,12,7,58.3,25,15,60.0
Lg Rank Offense,,,28,,,7,,,31
Lg Rank Defense,,,2,,,17,,,22
