ranker,name_display,age,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
1,C.J. Stroud,24,QB,8,8,3-5-0,161,242,66.5,1702,11,4.5,5,2.1,77,45.2,50,7.0,7.01,10.6,212.8,93.4,65.6,17,148,6.56,6.00,5.98,0,0,
2,Davis Mills,27,QB,5,3,3-0-0,88,150,58.7,879,5,3.3,1,0.7,46,40.5,54,5.9,6.23,10.0,175.8,83.7,44.6,8,60,5.06,5.18,5.53,1,2,
