ranker,name_display,age,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
1,Dillon Gabriel,25,QB,8,6,1-5-0,109,184,59.2,937,7,3.8,2,1.1,45,33.2,26,5.1,5.36,8.6,117.1,80.8,30.4,18,125,8.91,4.02,4.27,0,0,
2,Joe Flacco,40,QB,4,4,1-3-0,93,160,58.1,815,2,1.3,6,3.8,35,34.9,35,5.1,3.66,8.8,203.8,60.3,,9,54,5.33,4.50,3.14,1,1,
3,Shedeur Sanders,23,QB,2,1,1-0-0,15,36,41.7,256,1,2.8,2,5.6,6,20.5,66,7.1,5.17,17.1,128.0,52.5,4.5,3,30,7.69,5.79,4.00,0,0,
