header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,157,49,31.2,21,11,52.4,28,15,53.6
Opp. Stats,145,50,34.5,10,5,50.0,30,16,53.3
Lg Rank Offense,,,30,,,19,,,21
Lg Rank Defense,,,3,,,8,,,7
