header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Greg Dortch,27,WR,11,3,13,179,0,40,13.8,30,781,0,39,26.0,1167,
2,Emari Demercado,26,RB,9,0,0,0,0,0,,3,86,0,36,28.7,391,
3,Zonovan Knight,24,RB,9,5,0,0,0,0,,12,256,0,28,21.3,555,
4,Michael Carter,26,RB,7,2,0,0,0,0,,1,27,0,27,27.0,291,
5,Xavier Weaver,25,WR,6,1,0,0,0,0,,1,24,0,24,24.0,48,
6,Andre Baccellia,28,WR,2,0,0,0,0,0,,3,74,0,27,24.7,79,
