header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,248,3661,726,5.0,13,7,226,286,425,2549,17,6,5.5,140,261,1112,9,4.3,64,85,623,22,114,37.7,10.5,Own 31.7,3:06,6.55,32.1,2.04
Opp. Stats,283,3707,685,5.4,17,8,236,240,373,2451,16,9,6.2,137,290,1256,11,4.3,76,69,634,23,119,42.9,13.4,Own 30.0,2:38,6.0,31.2,2.19
Lg Rank Offense,18,15,,,15,27,9,,1,10,14,10,25,,27,25,17,18,,,,,,20,16,8,4,3,15,20
Lg Rank Defense,24,19,,,6,3,27,,20,20,11,9,20,,14,17,19,21,,,,,,8,7,13,6,16,16,19
