header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,155,67,43.2,16,7,43.8,45,25,55.6
Opp. Stats,127,47,37.0,17,7,41.2,42,25,59.5
Lg Rank Offense,,,5,,,29,,,19
Lg Rank Defense,,,14,,,4,,,20
