ranker,name_display,age,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
1,Caleb Williams,24,QB,11,11,8-3-0,213,360,59.2,2568,16,4.4,4,1.1,117,42.2,65,7.1,7.52,12.1,233.5,91.3,55.3,17,116,4.51,6.50,6.88,5,5,
2,Tyson Bagent,25,QB,3,0,,3,4,75.0,47,0,0.0,0,0.0,2,50.0,22,11.8,11.75,15.7,15.7,113.5,12.1,0,0,0.00,11.75,11.75,0,0,
3,D.J. Moore,28,WR,11,11,,1,1,100.0,2,1,100.0,0,0.0,1,100.0,2,2.0,22.00,2.0,0.2,118.7,,0,0,0.00,2.00,22.00,0,0,
4,Cole Kmet,26,TE,10,9,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,2.0,0,0,0.00,0.00,0.00,0,0,
