header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,147,62,42.2,15,7,46.7,38,22,57.9
Opp. Stats,118,43,36.4,18,9,50.0,39,24,61.5
Lg Rank Offense,,,8,,,26,,,16
Lg Rank Defense,,,11,,,8,,,26
