header_empty_0,header_fg1,header_fg2,header_fg3,header_fg4,header_fg5,block_auto_header_Scoring,header_kickoffs,ranker,name_display,age,pos,games,games_started,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_long,fg_pct,xpa
1,Cairo Santos,34,K,9,0,0,0,2,2,6,6,8,6,5,3,21,17,54,81.0,25,25,100.0,49,2957,9,18.4,60,
2,Jake Moody,26,K,2,0,0,0,2,2,3,3,4,3,0,0,9,8,48,88.9,3,3,100.0,13,800,4,30.8,62,
3,Tory Taylor,28,P,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,2,122,0,0.0,61,
