header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Devin Duvernay,28,WR,11,0,15,153,0,22,10.2,30,778,0,56,25.9,933,
2,Luther Burden,22,WR,10,1,0,0,0,0,,8,223,0,44,27.9,539,
3,Josh Blackwell,26,DB,9,0,0,0,0,0,,8,203,0,31,25.4,203,
4,Roschon Johnson,24,RB,7,0,0,0,0,0,,1,22,0,22,22.0,39,
5,Brittain Brown,28,RB,2,0,0,0,0,0,,1,23,0,23,23.0,60,
