header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,289,4066,710,5.7,8,4,226,217,366,2501,17,4,6.5,120,327,1565,13,4.8,91,87,724,15,123,44.7,6.5,Own 32.8,2:48,6.02,32.7,2.32
Opp. Stats,292,3991,656,6.1,24,8,225,233,340,2472,22,16,6.8,119,293,1519,11,5.2,82,61,428,24,120,39.2,20.0,Own 30.5,2:36,5.6,32.7,2.24
Lg Rank Offense,8,6,,,3,7,9,,15,12,14,4,11,,2,2,7,7,,,,,,7,29,1,19,16,14,11
Lg Rank Defense,27,27,,,1,3,24,,12,21,28,1,29,,18,28,19,30,,,,,,18,1,18,5,6,22,24
