header_empty_0,header_pr,header_kr,header_empty_3,ranker,name_display,age,pos,games,games_started,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td
1,Nikko Remigio,26,WR,11,0,21,150,0,25,7.1,20,510,0,47,25.5,692,
2,Brashard Smith,22,RB,11,0,0,0,0,0,,12,322,0,37,26.8,570,
3,Tyquan Thornton,25,WR,11,3,0,0,0,0,,10,286,0,42,28.6,658,
4,Jalen Royals,22,WR,4,0,0,0,0,0,,1,30,0,30,30.0,30,
