header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,277,4136,731,5.7,8,1,257,262,407,2835,18,7,6.6,145,300,1301,13,4.3,91,76,634,21,105,49.5,7.6,Own 28.7,3:25,7.19,39.4,2.67
Opp. Stats,201,3223,598,5.4,9,3,180,221,318,2149,11,6,6.3,99,258,1074,10,4.2,66,69,661,15,103,35.9,8.7,Own 29.8,3:00,6.0,31.3,1.89
Lg Rank Offense,9,5,,,3,1,1,,3,2,10,13,10,,15,14,7,17,,,,,,2,24,29,1,1,1,2
Lg Rank Defense,4,6,,,27,26,3,,6,11,4,21,21,,4,8,15,17,,,,,,24,23,11,24,15,17,7
