header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,142,59,41.5,23,18,78.3,47,28,59.6
Opp. Stats,126,52,41.3,17,4,23.5,31,17,54.8
Lg Rank Offense,,,10,,,2,,,14
Lg Rank Defense,,,23,,,1,,,10
