ranker,name_display,age,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
1,Lamar Jackson,28,QB,8,8,5-3-0,130,195,66.7,1595,15,7.7,3,1.5,75,47.5,45,8.2,9.03,12.3,199.4,111.0,63.2,24,162,10.96,6.54,7.30,1,1,
2,Cooper Rush,32,QB,4,2,0-2-0,34,52,65.4,303,0,0.0,4,7.7,13,41.5,56,5.8,2.37,8.9,75.8,48.8,29.2,1,16,1.89,5.42,2.02,0,0,
3,Tyler Huntley,27,QB,2,1,1-0-0,27,37,73.0,254,1,2.7,0,0.0,11,41.9,36,6.9,7.41,9.4,127.0,100.5,84.5,6,31,13.95,5.19,5.65,0,0,
4,Derrick Henry,31,RB,11,11,,0,1,0.0,0,0,0.0,0,0.0,0,,,0.0,0.00,,0.0,39.6,14.1,0,0,0.00,0.00,0.00,0,0,
