header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,131,50,38.2,17,9,52.9,41,19,46.3
Opp. Stats,148,54,36.5,26,15,57.7,43,25,58.1
Lg Rank Offense,,,19,,,18,,,30
Lg Rank Defense,,,12,,,15,,,17
