header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,275,3461,624,5.5,13,6,201,191,285,1943,16,7,6.1,99,308,1518,13,4.9,83,63,493,19,118,43.2,10.2,Own 32.2,2:46,5.49,29.3,2.28
Opp. Stats,261,3823,699,5.5,13,6,215,246,390,2530,16,7,6.2,127,291,1293,11,4.4,73,74,602,15,118,42.4,10.2,Own 32.1,2:50,6.2,32.3,2.19
Lg Rank Offense,10,21,,,15,19,23,,32,29,19,13,16,,9,6,7,5,,,,,,12,20,5,20,29,20,12
Lg Rank Defense,19,24,,,11,9,17,,27,24,11,17,18,,16,20,19,22,,,,,,9,17,27,15,21,21,18
