header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,151,70,46.4,17,10,58.8,43,27,62.8
Opp. Stats,137,54,39.4,12,8,66.7,41,23,56.1
Lg Rank Offense,,,2,,,12,,,9
Lg Rank Defense,,,18,,,23,,,12
