header_tot_off_tgl,header_pass,header_rush,header_penalties,averages,player,points,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,drives,score_pct,turnover_pct
Team Stats,281,4183,772,5.4,18,5,263,291,420,2993,21,13,6.8,163,333,1190,9,3.6,83,64,488,17,123,44.7,14.6,Own 31.7,3:00,6.50,34.2,2.32
Opp. Stats,261,4112,730,5.6,12,7,243,295,425,2901,22,5,6.6,144,292,1211,8,4.1,77,78,543,22,121,38.0,9.9,Own 31.6,2:57,6.2,33.9,2.13
Lg Rank Offense,15,10,,,27,14,5,,9,3,6,28,9,,12,26,19,31,,,,,,6,6,6,13,6,8,10
Lg Rank Defense,11,22,,,22,8,22,,26,26,26,28,25,,8,10,6,15,,,,,,17,22,20,22,26,27,20
