ranker,name_display,age,pos,games,games_started,qb_rec,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,pass_td_pct,pass_int,pass_int_pct,pass_first_down,pass_success,pass_long,pass_yds_per_att,pass_adj_yds_per_att,pass_yds_per_cmp,pass_yds_per_g,pass_rating,qbr,pass_sacked,pass_sacked_yds,pass_sacked_pct,pass_net_yds_per_att,pass_adj_net_yds_per_att,comebacks,gwd,awards
1,Joe Flacco,40,QB,6,6,1-5-0,154,250,61.6,1636,13,5.2,4,1.6,79,46.3,44,6.5,6.86,10.6,272.7,91.3,,9,64,3.47,6.07,6.38,1,1,
2,Jake Browning,29,QB,5,3,0-3-0,81,125,64.8,771,6,4.8,8,6.4,33,38.8,64,6.2,4.25,9.5,154.2,71.1,33.8,9,60,6.72,5.31,3.51,1,1,
3,Joe Burrow,29,QB,2,2,2-0-0,21,36,58.3,189,2,5.6,0,0.0,13,46.3,25,5.3,6.36,9.0,94.5,91.1,61.3,5,26,12.20,3.98,4.95,0,0,
4,Brett Rypien,29,QB,1,0,,0,0,,0,0,,0,,0,,,,,,0.0,,0.0,1,2,100.00,-2.00,-2.00,0,0,
