header_downs,header_red_zone,player,third_down_att,third_down_success,third_down_pct,fourth_down_att,fourth_down_success,fourth_down_pct,red_zone_att
Team Stats,137,54,39.4,10,7,70.0,29,18,62.1
Opp. Stats,140,68,48.6,14,9,64.3,49,32,65.3
Lg Rank Offense,,,13,,,4,,,10
Lg Rank Defense,,,31,,,22,,,28
